Sample,Mineral,Pipe,Diamond_High,Craton,Mg,Al,Si,Ca,V,Cr,Mn,Co,Ni,Mg_clr,Al_clr,Si_clr,Ca_clr,V_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9
    Ap27I07,OP,ZERO,no,Kaapvaal,125700,5609,272700,1226,34.56,2031,473.1,603.1,12.83,4.377922584,1.268396919,5.152396758,-0.252218694,-3.821033867,0.252552751,-1.204424028,-0.96164779,-4.811944632,0.152052253,-0.130335729,0.25963543,0.050548895,0.080291292,-0.009548845,0.021921263,-0.021094764,9.71E-17
    Ap27I08,OP,ZERO,no,Kaapvaal,120500,4042,266100,4218,38.07,1150,990.1,459.2,24.82,4.169568464,0.77465833,4.961790889,0.817279793,-3.890409998,-0.482319347,-0.63203062,-1.400350723,-4.318186788,0.149359351,-0.100416026,-0.160236597,-0.026604022,0.051797912,-0.027038649,-0.016664888,0.028146663,-5.55E-17
    Ap27I09,OP,ZERO,no,Kaapvaal,93720,4417,270400,802.1,22.79,2130,522.7,544.4,16.11,4.207566329,1.152715448,5.26715706,-0.553267275,-4.11417872,0.423376695,-0.981492878,-0.940816293,-4.461060366,0.063629248,-0.12747213,0.259656597,-0.044282196,0.110697377,-0.055594967,-0.080984695,-0.049711832,1.94E-16
    Ap27I10,OP,ZERO,no,Kaapvaal,106400,5480,263200,3979,39.45,781.6,819.8,350.9,37.24,4.077560987,1.111460512,4.98326961,0.791385942,-3.822365821,-0.836056768,-0.78833946,-1.636898586,-3.880016416,0.178237654,-0.060399302,-0.141577762,0.085222934,0.040530577,-0.061079152,-0.029179607,0.009945305,7.63E-17
    Ap27I11,OP,ZERO,no,Kaapvaal,110000,3287,268600,3849,34.83,1137,817.9,511.8,31.12,4.115828343,0.605323272,5.008571261,0.763161352,-3.941928217,-0.456258808,-0.785667222,-1.254473378,-4.054556602,0.139306552,-0.102530057,-0.112160275,0.01390545,0.018801136,0.014521205,-0.035640465,-0.005569328,3.33E-16
    Ap27I12,OP,ZERO,no,Kaapvaal,94350,6258,263800,6735,61.89,719.5,889,447.8,41.15,3.809212652,1.096062025,4.83739262,1.16951919,-3.520195283,-1.066997373,-0.855456664,-1.541207195,-3.928329972,0.304148719,-0.054428975,-0.228946258,0.143579346,0.037238398,-0.015599918,-0.036614713,-0.014365804,6.94E-17
    Ap27I13,OP,ZERO,no,Kaapvaal,111100,6208,262700,5004,38.27,987.4,911.6,357.9,41.85,4.027316073,1.142724159,4.887898073,0.927122969,-3.946203603,-0.695794677,-0.775668605,-1.710616285,-3.856778106,0.207626874,-0.039671334,-0.162116526,0.042104083,0.005896757,-0.061949285,-0.01449034,-0.01419196,4.86E-17
    Ap27I14,OP,ZERO,no,Kaapvaal,86010,4954,262700,4642,45.57,1055,996.4,368.3,52.42,3.768361239,0.914093002,4.884910367,0.849042978,-3.774608003,-0.632561563,-0.689708825,-1.684959785,-3.634569411,0.22823659,-0.032437273,-0.192430653,0.020377359,0.065025231,-0.025103971,-0.085592563,-0.038644715,3.89E-16
    Ap27I15,OP,ZERO,no,Kaapvaal,96490,2867,260400,3481,32.75,1089,816.9,482.8,38.34,4.0242173,0.508044111,5.016996834,0.702097532,-3.964074393,-0.459962232,-0.747460667,-1.273374866,-3.806483618,0.126189603,-0.092591301,-0.123307567,0.004308816,0.032170744,0.019083468,-0.066447198,-0.025207975,8.33E-17
    Ap27I16,OP,ZERO,no,Kaapvaal,103500,6912,263300,7748,62.95,707.3,852.6,489.4,40.25,3.862331681,1.1560191,4.796054135,1.270194814,-3.54265445,-1.123540307,-0.936704706,-1.49181506,-3.989885207,0.323219764,-0.0557059,-0.22620067,0.168517911,0.005482393,-0.012621334,-0.002806736,-0.020557868,1.32E-16
    Ap27I17,OP,ZERO,no,Kaapvaal,105000,3465,264100,3608,34.06,1116,782.9,460.9,33.13,4.091778893,0.680531175,5.014146362,0.720972145,-3.941813061,-0.452430594,-0.806931763,-1.336755637,-3.96949752,0.14384512,-0.090268478,-0.098696056,0.021715185,0.02038843,0.00692504,-0.041487402,-0.010108553,2.78E-17
    Ap27I18,OP,ZERO,no,Kaapvaal,85620,6539,259400,7621,62.02,723.9,1059,460.1,42.7,3.678692354,1.106557702,4.787144725,1.259681048,-3.551524912,-1.094328564,-0.71390148,-1.547537968,-3.924782905,0.318997401,-0.049984885,-0.29346743,0.10043026,0.050737392,-0.037431752,-0.06350639,-0.024164057,2.01E-16
    Ap27K07,OP,ZERO,no,Kaapvaal,139100,6767,262700,4505,32.05,3275,514.7,545.2,24.6,4.191467673,1.168332432,4.827287271,0.761462466,-4.184183521,0.442592444,-1.407896498,-1.350328005,-4.448734262,0.297556511,-0.044068025,0.149596609,0.019815082,-0.150579991,0.0659239,0.088672835,-0.088131186,-1.67E-16
    Ap27K08,OP,ZERO,no,Kaapvaal,311100,221,271100,844.1,8.57,639.8,1219,2444,49.2,5.45819848,-1.791508501,5.320571833,-0.451400232,-5.04140347,-0.728515575,-0.083885073,0.611720118,-3.293777579,-0.587104837,-0.347972211,-0.171080911,-0.2114713,0.133302753,0.049407423,0.091499479,-0.040463903,-1.89E-16
    Ap27K09,OP,ZERO,no,Kaapvaal,135300,7453,263900,7480,55.42,634.9,772.7,387.9,31.82,4.184796832,1.285918933,4.85287254,1.289535089,-3.615512443,-1.176985476,-0.980562107,-1.669705408,-4.170357959,0.276189907,-0.060325816,-0.19330583,0.189781719,-0.023299335,-0.036311765,0.06238089,0.036517908,-4.86E-17
    Ap27K10,OP,ZERO,no,Kaapvaal,143700,6014,273100,522.6,16.51,1743,428.7,451.2,11.62,4.736987158,1.56334945,5.379097394,-0.879679561,-4.334529656,0.324867132,-1.07773854,-1.026585214,-4.685768162,-0.040348916,-0.142541923,0.37339529,-0.00375486,0.091989748,-0.142329087,0.022199491,0.000891454,-8.33E-17
