Number,Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Cr,Mn,Co,Ni,Rb,Sr,Y,Zr,Ba,Nd,Eu,Yb,Lu,Ta,U,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,Rb_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Yb_clr,Lu_clr,Ta_clr,U_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
66,    Ap27E18,CRD,KIT,no,Slave,26520,51160,18880,255500,160.8347894,346.7,367.6,131,198.5,160.6,61.11,49.54,0.480491683,8.02,0.14,0.32,2.38,0.16,0.04,0.006670039,0.01,0.01,7.31,7.97,6.97,9.58,2.20,2.97,3.03,2.00,2.42,2.20,1.24,1.03,-3.61,-0.79,-4.84,-4.01,-2.01,-4.71,-6.09,-7.89,-7.48,-7.48,-0.679356124,-0.253197804,0.160869891,-0.043659525,-0.043114187,0.036368996,-0.018862419,-0.043471417,0.032618571,-0.049923647,-0.072340565,-0.052182663,0.017184405,-0.039052234,0.042453333,0.031045573,-0.007353488,0.014339231,-0.002944247,0.001787772,0.000309149,-1.31E-16
67,    Ap27E19,CRD,KIT,no,Slave,30140,51400,19750,258100,72.9998379,413.1,389.8,149.3,210.1,137.1,62.93,146.6,0.86,5.76,0.029857452,0.22,7.22,0.33,0.028161562,0.01,0.006833624,0.02,7.38,7.91,6.96,9.53,1.36,3.09,3.03,2.07,2.41,1.99,1.21,2.05,-3.09,-1.18,-6.45,-4.45,-0.96,-4.04,-6.50,-7.54,-7.92,-6.85,-0.703575774,-0.337068264,0.040373038,-0.129204767,0.123697477,0.00273358,0.073290483,0.002738156,0.092580874,-0.018461736,0.012555961,0.020239791,0.041420387,-0.017137863,0.009291992,-0.028757931,-0.005052366,-0.024586946,-0.019250279,0.028138225,-0.007988003,-9.38E-16
68,    Ap27E20,CRD,KIT,no,Slave,40010,48590,23430,258000,142.238637,430.6,419.7,172.6,197.1,133,55.57,61.4,1.01,9.47,0.032786458,0.062747945,3.07,0.26,0.027080187,0.005482709,0.004479693,0.003272651,7.85,8.05,7.32,9.72,2.22,3.32,3.30,2.41,2.54,2.15,1.28,1.37,-2.73,-0.49,-6.16,-5.51,-1.62,-4.09,-6.35,-7.95,-8.15,-8.46,-0.796707604,-0.18955746,0.041490624,-0.087860299,-0.027299558,-0.108166827,-0.011287532,-0.008575431,0.029484641,-0.014544141,0.015575831,0.006789093,0.003837434,-0.031556889,0.008461236,-0.012009235,-0.034562283,0.039842164,-0.020163437,0.010498887,-6.02E-06,-3.40E-16
69,    Ap27E21,CRD,KIT,no,Slave,33010,50040,16470,258000,163.3969632,320.3,329.1,185,164.6,267.1,69.39,76.9,0.86,4.45,0.026085945,0.043704865,3.66,0.34,0.04,0.004398342,0.001582064,0.005511278,7.72,8.14,7.03,9.78,2.41,3.09,3.11,2.54,2.42,2.90,1.56,1.66,-2.83,-1.19,-6.33,-5.81,-1.39,-3.76,-5.90,-8.11,-9.13,-7.88,-0.801703059,-0.182904369,-0.019458195,-0.109776625,0.065289375,-0.064547199,0.046048207,-0.048699877,-0.0630153,0.004927122,0.025667549,0.036087445,-0.002091829,0.024557375,-0.019426366,0.008761256,0.007810099,-0.030428216,0.004304821,-0.009359645,0.002290077,2.65E-16
70,    Ap27E22,CRD,KIT,no,Slave,32660,49470,16960,256900,143.3628398,323.2,330.4,190.6,178,271,71.15,75.19,0.81,4.46,0.025306601,0.052248813,3.25,0.25,0.018660576,0.003475888,0.003008306,0.00524299,7.74,8.16,7.09,9.81,2.31,3.13,3.15,2.60,2.53,2.95,1.61,1.67,-2.86,-1.16,-6.33,-5.60,-1.47,-4.04,-6.63,-8.31,-8.46,-7.90,-0.776237551,-0.160479379,0.062963201,-0.175678455,0.031672824,-0.078448341,0.047243077,-0.022468565,-0.005388585,0.003547705,0.019352105,0.001458257,-0.002914207,0.013724225,-0.00984564,0.003286384,0.005598654,-0.00106402,0.014175434,-0.013127581,0.002662043,1.87E-16
71,    Ap27F03,CRD,KIT,no,Slave,33440,49210,16510,256300,105800,17.33,375,226.1,175.4,30.63,277,0.031161588,75.64,0.74,4.15,0.058386821,3.45,0.36,0.023316143,0.004655528,0.002516277,0.01,7.55,7.94,6.85,9.59,8.71,-0.01,3.06,2.56,2.30,0.56,2.76,-6.33,1.46,-3.17,-1.44,-5.70,-1.63,-3.89,-6.62,-8.23,-8.85,-7.47,-0.2617557,0.223231128,-0.239693035,-0.13470483,-0.021627017,0.165212608,-0.054312137,-0.041666314,-0.026364981,0.060097702,0.044231315,0.017218852,-0.016942043,-0.006382432,-0.011686354,0.002948049,-0.004550111,-0.00778356,0.004117183,0.006344737,-0.00854363,-7.07E-16
72,    Ap27F04,CRD,KIT,no,Slave,30010,51900,16620,255900,108100,19.47,329,220.9,183.7,33.06,275.7,0.035257829,77.36,0.68,4.38,0.059994584,3.72,0.31,0.02359152,0.005102422,0.003247861,0.01,7.42,7.97,6.83,9.57,8.71,0.08,2.91,2.51,2.33,0.61,2.73,-6.23,1.46,-3.27,-1.41,-5.70,-1.57,-4.06,-6.63,-8.16,-8.62,-7.49,-0.248424194,0.219152919,-0.211525758,-0.132621824,-0.003094459,0.164328348,-0.076615684,-0.037672499,-0.011390812,0.051331283,0.020984138,0.013328544,-0.001255396,0.000322855,-0.010892138,-0.000694284,0.003199668,0.001887656,0.008429007,0.001940816,-0.00778467,-5.79E-16
73,    Ap27F05,CRD,KIT,no,Slave,30950,50670,18690,257700,118700,27.14,374.4,138.3,194.4,33.91,160.3,0.030672717,53.06,0.56,8.59,0.072818824,2.15,0.19,0.021411514,0.005828609,0.007063393,0.01,7.47,7.96,6.96,9.59,8.81,0.43,3.05,2.06,2.40,0.65,2.21,-6.36,1.10,-3.45,-0.72,-5.49,-2.11,-4.53,-6.72,-8.02,-7.82,-7.48,-0.24786437,0.211481489,-0.098439118,-0.084269905,-0.088383921,0.221775818,-0.142872676,0.01463974,0.028366013,0.052914282,-0.025875525,-0.022843501,0.007917013,0.017515285,0.031196873,0.002305977,-0.002466126,0.007912237,-0.013595289,0.003453256,0.008592439,1.87E-16
74,    Ap27F06,CRD,KIT,no,Slave,32920,50840,19230,256200,114500,26.79,369.6,192.7,187.2,37.42,271.6,0.049399437,70.78,0.33,5,0.077464491,2.36,0.16,0.015644742,0.004480523,0.006436819,0.01,7.53,7.97,6.99,9.58,8.78,0.42,3.04,2.39,2.36,0.75,2.73,-5.88,1.39,-3.98,-1.26,-5.43,-2.01,-4.70,-7.03,-8.28,-7.92,-7.47,-0.220958565,0.258344436,-0.062375497,-0.163517888,-0.076664552,0.215993093,-0.115177609,-0.012380292,0.020868887,0.011274682,-0.014926924,0.009527332,0.017411454,0.039205939,0.003245376,-0.02323808,0.012531642,0.018066171,-0.000222209,-0.010599897,0.005126022,3.35E-16
75,    Ap27F07,CRD,KIT,no,Slave,31470,53670,17090,256900,116300,21.07,345.5,206.1,182.8,32.02,268.4,0.025567702,85.06,0.83,4.59,0.065129946,3.95,0.34,0.05,0.01,0.002032794,0.01,7.41,7.94,6.80,9.51,8.72,0.10,2.90,2.38,2.26,0.52,2.64,-6.62,1.49,-3.14,-1.43,-5.68,-1.58,-4.03,-5.94,-7.55,-9.15,-7.55,-0.276857845,0.199294026,-0.264537254,-0.023795366,0.031464362,0.197870352,-0.102479598,-0.049275139,-0.032196859,0.015014988,0.028788857,0.032017338,0.018530327,-0.006161935,-0.0124187,-0.007819174,-0.011606975,-0.007262944,0.010375726,0.000885667,-0.003504629,-3.92E-16
