Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Mn,Sr,Y,Zr,Ba,Nd,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Ta,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Mn_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Gd_clr,Tb_clr,Dy_clr,Ho_clr,Er_clr,Yb_clr,Lu_clr,Ta_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
    Ap24G14,E,NEW ELANDS,no,Kaapvaal,1477,64790,71010,191600,40130,31.36,889.2,1500,1.38,5.06,8.07,2.02,0.76,0.41,0.65,0.12,0.97,0.21,0.57,0.52,0.11,0.01,4.513341314,8.294479581,8.386149022,9.378738176,7.815452494,0.661106227,4.005895213,4.528793418,-2.46234347,-1.163060486,-0.696273487,-2.081329457,-3.058863815,-3.676025088,-3.215209885,-4.904690505,-2.814886176,-4.345074717,-3.346545887,-3.438353436,-4.991701882,-7.389597155,-0.285103925,0.164976958,0.036229798,-0.04966515,-0.015448827,-0.059102437,0.106859325,0.011443444,-0.003028012,0.026277574,0.023473873,0.051059119,-0.012815128,0.001472518,-0.016263819,-0.043813917,0.005724261,-0.027819051,0.000524415,0.002313619,0.002540373,2.03E-16
    Ap24G15,E,NEW ELANDS,no,Kaapvaal,183.6750252,74150,71710,192500,39690,21.63,775,1466,0.85,4.5,4.18,0.53,0.86,0.29,0.78,0.12,0.78,0.16,0.6,0.58,0.09,0.01,2.685386216,8.686063535,8.652603674,9.64006962,8.061072733,0.546299427,4.125081217,4.76251107,-2.690300742,-1.023704416,-1.097470566,-3.162660085,-2.678604702,-3.765656169,-2.776243172,-4.648045349,-2.776243172,-4.360363276,-3.038607436,-3.072508988,-4.935727421,-7.132951999,-0.218317335,0.197337345,0.07863519,-0.136675105,0.003956213,0.084907945,-0.047882579,-0.03328908,-0.014739665,-0.008340642,0.024982381,0.023113302,-0.019387214,0.025394289,0.00146413,0.013468274,0.004515123,-0.008408436,0.000183841,0.018221375,-0.001289178,1.02E-16
    Ap27G21,E,ZERO,no,Kaapvaal,263.1691006,83920,86510,192500,44300,108.7,856.4,2589,30.05,18.74,0.021990431,0.19,0.81,0.68,2.22,0.55,4.23,1.24,3.1,3.61,0.51,0.005961763,2.42820592,8.193028369,8.223424419,9.023260559,7.554149082,1.54400092,3.608146683,4.714436106,0.258271787,-0.213930597,-6.961738761,-4.805322081,-3.355311905,-3.530253355,-2.347083678,-3.742427875,-1.702388881,-2.929479494,-2.013188762,-1.860883101,-3.817935427,-8.26697993,0.268891186,0.02700047,-0.041901538,-0.005160603,-0.088805451,0.089852746,-0.085217461,0.049989821,-0.118897917,0.069045346,-0.009989541,0.003291121,0.031860851,-0.006885319,-0.028484802,-0.019347772,-0.007030871,0.007471556,0.007703748,-0.011491754,0.016222781,-3.82E-16
    Ap27G22,E,ZERO,no,Kaapvaal,261.9475554,57810,63600,190200,44300,62.2,685.9,1663,4.96,0.41,0.02760237,7.75,0.38,0.15,0.5,0.13,1.03,0.11,0.61,0.61,0.09,0.003099516,3.261586219,8.658358956,8.753810655,9.849273335,8.392181862,1.823796906,4.22417375,5.109820385,-0.705152353,-3.198156213,-5.896411732,-0.258865251,-3.27414212,-4.203678079,-2.999705275,-4.346778923,-2.276999292,-4.513833007,-2.800854416,-2.800854416,-4.714503703,-8.083067289,-0.116920252,0.354907237,-0.024674956,0.032054698,-0.270478708,0.138425722,0.03202198,-0.000446533,0.100580578,-0.088383691,-0.025320247,-0.021613148,0.037727919,0.038397756,0.023767638,0.017680807,-0.051035669,-0.056949051,0.011471084,0.025574248,-0.003310365,1.06E-16
    Ap27H03,E,ZERO,no,Kaapvaal,270.4904725,61760,57850,187300,24110,58.54,805.1,2322,0.89,8.54,3.09,1.19,0.4,0.22,0.84,0.11,1.52,0.39,0.93,0.88,0.19,0.006032289,2.901954639,8.332728948,8.267326496,9.442184652,7.392099735,1.371428045,3.992684257,5.051901926,-2.814816053,-0.553521229,-1.570111146,-2.524328929,-3.614572968,-4.212409969,-2.872635624,-4.90555715,-2.279571902,-3.639890776,-2.770852929,-2.826115608,-4.359013443,-7.808910969,-0.086087824,0.088220564,0.122078952,0.056099801,-0.003921342,0.121467998,0.026467881,0.012733278,-0.012147202,-0.015616257,-0.044748904,0.045157738,0.002716837,-0.018565643,-0.003331615,-0.032906982,0.078571022,-0.021587591,-0.001912959,-0.009889916,-0.01309115,6.30E-16
    Ap27H04,E,ZERO,no,Kaapvaal,134.0267614,65650,61560,192900,25000,57.99,725.1,2057,0.108376711,13.8,9.73,0.25,0.46,0.19,1.23,0.23,2.37,0.45,1.37,1.57,0.17,0.01,2.187370938,8.381424326,8.317099035,9.459258646,7.41596255,1.349602029,3.875641023,4.918335336,-4.93281061,-0.085999961,-0.435454657,-4.096962914,-3.487197343,-4.37139976,-2.503654384,-4.180344523,-1.847778598,-3.50917625,-2.395857814,-2.259592934,-4.482625395,-7.315838739,0.020413097,0.009330066,0.200872345,-0.019103052,0.091746914,0.135324558,-0.057137109,0.027485368,0.036827806,-0.036103936,-0.062514351,-0.029547761,-0.031632129,0.005572358,-0.010037608,0.01927836,0.017343655,-0.013510532,0.03700315,-0.007063174,-0.007230835,-4.42E-16
    Ap27H05,E,ZERO,no,Kaapvaal,170.6178192,56480,68150,190400,48540,68.84,828.5,1672,0.39,5.37,0.49,0.99,0.54,0.19,0.83,0.12,0.87,0.22,0.65,0.71,0.07,0.006327639,2.693321744,8.495537536,8.683362101,9.710778065,8.344039143,1.785680635,4.273512501,4.975671458,-3.387712876,-0.765276428,-3.159454224,-2.456154672,-3.062290476,-4.106835543,-2.632433914,-4.566367872,-2.585366403,-3.960232069,-2.876887252,-2.788594645,-5.105364373,-7.508932436,-0.134249787,0.202254798,0.113139706,-0.054828367,-0.013066636,0.122280486,-0.044963572,0.014766177,0.009024746,-0.015167003,-0.089500195,-0.001234387,0.062256925,0.039271126,0.00016974,-0.001869277,0.010918048,0.029931059,0.032434517,0.003667973,-0.00273892,-2.39E-16
    Ap27H06,E,ZERO,no,Kaapvaal,3099,62090,63700,187300,31930,151,593.7,3067,10.78,9.56,2.53,7.03,0.47,0.11,0.32,0.13,1.47,0.36,1.29,2.16,0.43,0.005976597,4.953506872,7.951012339,7.976611956,9.055139003,7.2859734,1.931951951,3.301046255,4.943127278,-0.70763532,-0.827740159,-2.157108583,-1.13514118,-3.84035047,-5.292602799,-4.224762169,-5.125548714,-2.700065485,-4.106979133,-2.830685667,-2.315219664,-3.929297956,-8.205231753,-0.172060074,0.057735445,0.026796337,0.351331903,-0.07376572,-0.000960807,0.182187634,-0.103190321,-0.041400775,0.034982108,-0.035237535,-0.007212197,0.015566724,-0.076465394,-0.032693818,0.00158312,-0.015262468,-0.013492893,0.011279821,-0.009176774,-0.003595257,-7.81E-16
    Ap27H07,E,ZERO,no,Kaapvaal,1490,70360,72170,189800,51990,67.33,401.5,1979,33.83,9.19,4.4,20.87,1.84,0.43,1.27,0.29,1.83,0.36,0.92,0.58,0.16,0.01,4.03355376,7.88840256,7.913802087,8.880748526,7.585829033,0.936628264,2.722229895,4.317369307,0.248370344,-1.054861702,-1.791373098,-0.234664918,-2.663212067,-4.116947709,-3.033960738,-4.510851995,-2.668661672,-4.294628886,-3.356359248,-3.817704814,-5.105559103,-7.878147825,-0.241581469,0.083626555,-0.210138623,-0.04195582,0.002421977,-0.00161809,0.193972936,0.008533036,-0.069700605,0.039965157,-0.014838644,-0.066372441,-0.026407004,-0.057928685,-0.040135398,-0.014569215,0.011297411,-0.020851971,-0.025051062,0.015050831,0.003855052,3.47E-17
    Ap27H08,E,ZERO,no,Kaapvaal,1299,77070,70430,190700,30630,44.09,629.7,1643,5.36,4.29,0.42,13.49,0.27,0.11,0.39,0.12,0.57,0.14,0.44,0.93,0.07,0.00699878,4.580427396,8.663546758,8.573451967,9.569534171,7.740812579,1.197310378,3.856320894,4.815356497,-0.909958646,-1.132635888,-3.456423189,0.013026049,-3.898255941,-4.796197534,-3.530531161,-4.709186157,-3.151041539,-4.555035477,-3.409903173,-2.661493314,-5.248182658,-7.550942011,-0.304362749,0.229416519,0.046682311,0.178497902,-0.110124192,0.046634903,0.102761948,0.060874421,-0.004407276,0.075193837,-0.005155058,-0.024660699,0.020560524,0.029320102,0.024954258,0.066199613,-0.042334699,0.040969531,0.019968035,-0.024380038,-0.000996131,-9.04E-16
    Ap27H09,E,ZERO,no,Kaapvaal,3124,62770,65620,192200,28540,40.33,592.2,1901,6.35,3.7,0.51,18.57,0.46,0.16,0.31,0.07,0.57,0.15,0.36,0.53,0.09,0.01,5.4069277,8.40729072,8.451693995,9.526349964,7.61912008,1.057153798,3.743902604,4.910193531,-0.791486998,-1.331608992,-3.313286365,0.281605564,-3.416470601,-4.472523275,-3.811124793,-5.299201848,-3.202060729,-4.537061796,-3.661593059,-3.274820084,-5.04788742,-7.245111997,-0.375797909,0.264791785,-0.010693967,0.167774333,-0.093873536,-0.029083947,0.151100969,-0.016759474,-0.002060212,0.09733028,-0.029871803,0.036540157,0.002951113,0.014450515,0.017904993,-0.020366784,0.008349835,-0.003736987,-0.009517413,-0.023628153,-0.00387245,4.34E-16
    Ap27H10,E,ZERO,no,Kaapvaal,248.3410208,61060,62570,188900,27420,62.41,687,2283,10.52,12.9,2.54,46.34,1.72,0.24,0.99,0.18,1.84,0.34,1.64,1.65,0.27,0.01,2.33177011,7.836579491,7.861008434,8.965940279,7.035995178,0.950692744,3.349301517,4.550212872,-0.829754568,-0.625805464,-2.250868694,0.652972744,-2.640708484,-4.610149131,-3.193083111,-4.897831203,-2.573267203,-4.261842436,-2.688336533,-2.682257487,-4.492366095,-7.788202961,-0.183207798,-0.029809844,-0.142525514,0.048169642,0.013064823,0.141229408,0.070912789,-0.103938669,-0.070303315,-0.031606233,-0.022895587,-0.030127377,0.030149903,0.015372509,0.029056505,0.011180018,0.015151784,-0.028177875,0.005867735,0.022006011,-0.014083395,3.03E-16
