Sample,Mineral,Pipe,Diamond_High,Craton,Al,Si,Ca,Sc,V,Mn,Ba,Ce,Eu,Gd,Tb,Dy,Ho,Tm,Ta,Th,Al_clr,Si_clr,Ca_clr,Sc_clr,V_clr,Mn_clr,Ba_clr,Ce_clr,Eu_clr,Gd_clr,Tb_clr,Dy_clr,Ho_clr,Tm_clr,Ta_clr,Th_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
    Ap24E16,G10,NEW ELANDS,no,Kaapvaal,54750,195900,23000,81.1,228.2,1579,0.062185376,0.32,0.29,0.85,0.09,0.41,0.06,0.01,0.04,0.013538192,9.237227011,10.51205397,8.369943859,2.722377325,3.756916801,5.691241378,-4.450941054,-2.812739919,-2.911179992,-1.835824566,-4.081251245,-2.564903755,-4.486716353,-6.278475822,-4.892181461,-5.975546174,0.101385582,-0.16265605,0.039406538,-0.110506538,-0.160768948,0.016968264,0.005671027,0.038256033,-0.007979529,0.018126359,-0.003463233,0.001458048,0.001205311,-0.022440693,0.005936974,5.55E-17
    Ap24E17,G10,NEW ELANDS,no,Kaapvaal,48690,195500,14210,135.1,166.6,1461,0.21,0.66,0.34,1.38,0.23,1.51,0.24,0.05,0.03,0.015467327,8.670863599,10.06095031,7.439335871,2.783649895,2.99323038,5.164511062,-3.683013098,-2.537880794,-3.201175011,-1.800281851,-3.59204132,-1.710255699,-3.549481705,-5.118097623,-5.628923247,-6.291390768,0.301669943,-0.154105294,0.105684986,0.040296132,-0.056897639,0.012742159,-0.10257966,-0.017765656,0.00136357,-0.025482803,-0.012325716,-0.002790216,-0.002854222,-0.029815856,-0.012065298,-6.94E-18
    Ap24E18,G10,NEW ELANDS,no,Kaapvaal,48110,193100,21530,89.49,207,1825,0.040911293,1.59,0.22,0.53,0.07,0.45,0.05,0.03,0.01,0.05,9.042307157,10.43202529,8.238264412,2.755188709,3.593780615,5.770397088,-4.935287316,-1.275204162,-3.253065911,-2.373816451,-4.398198215,-2.537445874,-4.734670452,-5.245496075,-6.344108364,-4.734670452,0.063085661,-0.122339578,0.015180521,0.077209309,-0.060071653,0.003040671,0.049684536,0.051966187,-0.002374042,-0.014527909,-0.034461409,0.002658051,0.006269724,0.005776369,-0.010325394,-7.02E-17
    Ap24E19,G10,NEW ELANDS,no,Kaapvaal,59850,196100,17020,65.89,199.4,1864,0.060392211,2.17,0.21,0.57,0.08,0.28,0.04,0.01,0.01,0.04,9.35333548,10.54011878,8.095883171,2.541725454,3.649051627,5.884218765,-4.453156363,-0.871534063,-3.206908979,-2.208380149,-4.171989875,-2.919226906,-4.865137055,-6.251431417,-6.251431417,-4.865137055,0.05458928,-0.088197745,-0.051108988,0.010196476,-0.048137122,0.040108139,0.030732391,0.101616855,0.005078589,0.008601975,0.016307394,0.021546984,0.019765341,-0.007765596,0.007919711,7.07E-17
    Ap24E20,G10,NEW ELANDS,no,Kaapvaal,61020,198700,8356,80.17,151.1,1929,0.038577307,0.66,0.13,0.19,0.02,0.09,0.01,0.004618186,0.00534828,0.02,9.994042095,11.17463656,8.005820259,3.359234516,3.993027006,6.539842149,-4.280005944,-1.440430308,-3.065135692,-2.685646071,-4.936937869,-3.432860472,-5.63008505,-6.402668152,-6.255895162,-4.936937869,-0.136731342,-0.12293667,-0.099773552,-0.071833086,0.000590771,0.027412025,-0.028827001,0.050673847,-0.016330408,0.013767065,-0.033641533,-0.03172726,0.023826275,0.021185503,0.004107798,-2.48E-16
    Ap24E21,G10,NEW ELANDS,no,Kaapvaal,56100,196400,22710,84.16,164.6,2085,0.055458111,0.36,0.85,2.47,0.31,1.23,0.26,0.09,0.01,0.03,8.789320648,10.04233823,7.884990191,2.287149305,2.957947845,5.496953691,-5.037697739,-3.167221691,-2.308089373,-1.241352293,-3.316753425,-1.938556274,-3.492644092,-4.553516052,-6.75074063,-5.652128341,0.328725612,-0.263058341,0.10802949,0.05706296,-0.031759036,-0.023797816,0.02934373,0.031948572,-0.018931089,0.017438153,0.007367533,-0.024166375,0.016978874,0.048971123,-0.005565877,-2.08E-16
    Ap27C14,G10,ZERO,no,Kaapvaal,58660,198500,19660,92.36,183.1,1642,0.16,0.38,0.76,2.07,0.17,1.1,0.2,0.07,0.01,0.010241918,8.934203285,10.15323432,7.841031336,2.480383927,3.164722394,5.358360232,-3.877891521,-3.012894084,-2.319746903,-1.31776145,-3.817266899,-1.949999878,-3.65474797,-4.704570094,-6.650480244,-6.626576452,0.289971504,-0.257045595,0.10670861,0.010087495,-0.007819403,-0.020971763,0.008167078,0.006340288,0.031909954,0.008932957,-0.017675256,-0.023292725,0.000332721,-0.008581141,-0.001268852,-4.86E-17
    Ap27C15,G10,ZERO,no,Kaapvaal,62970,198600,21470,96.86,190,1760,0.026966494,0.4,1.01,2.5,0.25,1.12,0.17,0.06,0.004811934,0.007903199,9.120504542,10.26913887,8.044502731,2.643357478,3.317114913,5.543159929,-5.543069305,-2.846199891,-1.919958829,-1.013618428,-3.316203521,-1.816580474,-3.701866001,-4.743319876,-7.266565374,-6.770396764,0.274527181,-0.35100627,0.041062312,0.027459156,-0.019751268,-0.020527749,0.033881824,0.018848997,0.017274207,0.000256414,-0.005774906,-0.019607482,0.019162993,-0.006209363,0.008645289,0
    Ap27C16,G10,ZERO,no,Kaapvaal,61680,199900,21080,100.9,185.5,1718,0.020333441,0.28,1.01,2.1,0.25,1.15,0.14,0.09,0.004496766,0.005503154,9.16512248,10.34097999,8.091487474,2.749537399,3.358462354,5.584323574,-5.760080946,-3.137558204,-1.854642198,-1.122655184,-3.25088689,-1.724830586,-3.830705385,-4.272538137,-7.268989315,-7.067026429,0.259412707,-0.388387841,0.067971111,0.028746723,-0.013051638,-0.042708257,0.034157897,0.003588014,0.010351529,-0.023213637,-0.026710608,-0.02188631,0.034037813,-0.003580775,0.005568867,4.86E-17
    Ap27C17,G10,ZERO,no,Kaapvaal,57520,199900,20340,83.77,161.8,1724,0.52,0.38,0.82,1.97,0.27,1.61,0.22,0.1,0.01,0.010403537,8.766755237,10.01243977,7.727211915,2.234942193,2.89322825,5.259269696,-2.847059222,-3.160716781,-2.391583694,-1.515099212,-3.502466075,-1.716898576,-3.707260488,-4.495717848,-6.798302941,-6.75874222,0.351077328,-0.234644255,0.142104844,0.011672667,0.026092288,-0.005449987,0.016298897,0.00401425,0.028828497,-0.018662871,-0.025206503,-0.002238262,0.019720242,0.005838805,-0.007386593,-1.39E-17
